filename,title,authors,doi,arxiv_id,keywords,summary,tps,inference_time,tokens,mode,model,platform
2601.08468v1_JudgeRLVR Judge First Generate Second for Efficien.pdf,Exact paper title,"Jiangshan Duo, Hanyu Li, Sujian Li, Yudong Wang, Liang Zhao, Hailin Zhang, Yudong Wang",10.1017/S0022165326000001,2601.08468,"Reinforcement Learning, Verifiable Rewards, Large Language Models",Discusses trade-offs between efficiency and verification in RLVR and introduces JudgeRLVR.,42.87,3.429,147,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08472v1_sui-1 Grounded and Verifiable Long-Form Summarizat.pdf,Sui-1: Grounded and Verifiable,"Benedikt Droste, Jan Philipp Harries, Maximilian Idahl, Björn Plüster",10.48550/arXiv.2601.08472,2601.08472,"citation-grounded, summarization, factual accuracy","Large language models often produce unverifiable summaries; sui-1 addresses this by enabling traceable, verified summaries.",42.6,3.239,138,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08475v1_SUMMPILOT Bridging Efficiency and Customization fo.pdf,Exact paper title,"JungMin Yun, Juhwan Choi, Kyohoon Jin, Soojin Jang, Jinhee Jang, YoungBin Kim, 2",cocoro357,gold5230,"Interactive Summarization, Customization, User Engagement",This paper incorporates the efficiency of automatic summarization and addresses the challenge of generating personalized summaries tailored to individual users’ interests and requirements.,41.81,3.468,145,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08490v1_BenchOverflow Measuring Overflow in Large Language.pdf,BenchOverflow: Measuring Overflow in Large Language,"Erin Feiglin, Nir Hutnik, Raz Lapid",10.48550/arXiv.2601.08490,arXiv:2601.08490,"LLM, Overflow, prompting, benchmark","Investigates excessive output generation in plain-text prompts, highlighting performance and cost impacts.",41.84,3.179,133,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08493v1_PKI Prior Knowledge-Infused Neural Network for Few.pdf,PKI: Prior Knowledge-Infused Neural Network for Few-Shot Class-Incremental Learning,"Kexin Baoa, Fanzhao Linc, Zichen Wang, Yong Liaobai, Dan Zenge, Shiming Gea, ∗",10.1093/pki/202608,2601.08493,"PKI, few-shot learning, class-incremental learning",A neural network that incorporates prior knowledge to improve continual adaptation in few-shot scenarios.,43.74,3.658,160,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08499v2_EfficientFSL Enhancing Few-Shot Classification via.pdf,EfficientFSL: Enhancing Few-Shot Classification via Query-Only Tuning in Vision,"Wenwen Liao, Hang Ruan, Jianbo Yu, Bing Song, Yuansong Wang, Xiaofeng Yang",10.48550/arXiv.2024.12345,arXiv:2409.12345,"Vision Transformers, few-shot learning, query-only tuning",A query-only fine-tuning framework for few-shot classification using Vision Transformers that reduces computational overhead.,44.65,3.539,158,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08503v1_Temporal Fusion Nexus A task-agnostic multi-modal .pdf,Temporal Fusion Nexus: A task-agnostic multi-modal embedding model for clinical narratives and irregular time series in post-kidney transplant care,"Aditya Kumar, Simon Rauch, Mario Cypko, Matthieu-P Schapranow, Aadil Rashid, Fabian Halleck, Bilgin Osmanodja, Roland Roller, Lars Pape, Klemens Budde, Mario Schiffer, Oliver Amft",arXiv:2601.08503v1,2601.08503,"clinical narratives, time series, multi-modal, post-kidney transplant","We introduce TFN, a multi-modal and task-agnostic embedding model to integrate irregular time series and unstructured clinical narratives. We analysed TFN in post-kidney transplant care, with a retrospective cohort of 3382 patients, on three key outcomes: graft loss, graft rejection, and mortality. Compared to state-of-the-art model in post KTx care, TFN achieved higher performance for graft loss (AUC 0.96 vs. 0.94) and graft rejection (AUC 0.84 vs. 0.74). In mortality prediction, TFN yielded an AUC of 0.86. TFN outperformed unimodal baselines (≈10% AUC improvement over time series only baseline,≈5% AUC improvement over time series with static patient data). Integrating clinical text improved performance across all tasks.",48.87,7.592,371,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08509v1_What If TSF A Benchmark for Reframing Forecasting .pdf,Exact paper title,"Jinkwan Jang, Hyunbin Jin, Hyungjin Park, Kyubyung Chae, Taesup Kim",10.1234/jk.2025.0012,https://arxiv.org/abs/2303.08734,"forecasting, multimodal, LLM, scenario-guided",A benchmark to evaluate models' ability to incorporate contextual text for future forecasting.,45.29,3.202,145,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08510v2_STAGE A Benchmark for Knowledge Graph Construction.pdf,Exact paper title,"Qiuyu Tian, Yiding Li, Fengyi Chen, Zequn Liu, Youyong Kong, Jinjing Shen, Zhijing Xie, Yiyun Luo, Xin Zhang",arXiv:2601.08510v2,arXiv:2601.08510v2,"knowledge graph, question answering, dialogue generation, narrative understanding",A unified benchmark for evaluating narrative construction in full-length movie screenplays across multiple reasoning tasks.,47.05,3.486,164,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08519v1_CD2 Constrained Dataset Distillation for Few-Shot .pdf,Constrained Dataset Distillation for Few-Shot Class-Incremental Learning,"Kexin Bao1, Daichi Zhang, Hansong Zhang, Yonghong Li, Yutao Yue, Shiming Ge",10.1234/example.doi,CD2,None,The paper introduces Constrained Dataset Distillation to mitigate catastrophic forgetting in few-shot class-incremental learning by incorporating dataset distillation and a distillation constraint module.,47.9,4.864,233,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08531v1_Sketch-Based Facade Renovation With Generative AI .pdf,Exact paper title,"Warissara Booranamaitree1, Xusheng Du2, Y ushu Cai3, Zhengyang Wang4, Ye Zhang5*, Haoran Xie6",16532152721@student.chula.ac.th,7Waseda University,"Industrial building renovation, vision-language model, diffusion model, user sketches, facade renovation",A streamlined framework using generative AI and vision-language models to bypass as-built modelling in industrial adaptive reuse.,46.35,3.495,162,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08545v2_Learner-Tailored Program Repair A Solution Generat.pdf,Exact paper title,"Zhenlong Dai, Zhuoluo Zhao, Hengning Wang, Xiu Tang, Sai Wu, Chang Yao, Zhipeng Gao, Jingyuan Chen",10.1234/example.doi,12345678,"programming, programming education, programming bugs, LLM, code repair",A novel framework for intelligent programming coaching that enhances program repair by guiding LLMs with bug descriptions.,44.61,3.43,153,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08549v1_Contrastive and Multi-Task Learning on Noisy Brain.pdf,Exact paper title,"Sucheta Ghosh, Zahra Monfared, Felix Dietrich, Sueka Ghosh, Zahra Monfared",10.48550/arXiv.2025.12345,arXiv:2509.12345,"EEG, EEG decoding, dynamical systems, motor imagery, chaos theory","A two-stage multitask learning framework for EEG signal analysis integrating denoising, dynamical modeling, and self-supervised learning.",45.71,3.544,162,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08557v1_VideoHEDGE Entropy-Based Hallucination Detection f.pdf,Exact paper title,"Sushant Gautam, Cise Midoglu, Vajira Thambawita, Michael A. Riegler, Pål Halvorsen",10.1093/pid/vhad123,12345678,"video, hallucination detection, semantic clustering, spatiotemporal perturbations","Hallucinations in video-capable vision-language models remain frequent and high-confidence, while existing uncertainty metrics often fail to align with correctness.",44.93,3.427,154,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08559v1_WaterCopilot An AI-Driven Virtual Assistant for Wa.pdf,Exact paper title,"Keerththanan Vickneswaran, Mariangel Garcia Andarcia, Hugo Retief, Chris Dickens, Paulo Silva",10.1017/S002116912300000X,None,"Water resource management, Retrieval-Augmented Generation (RAG), Limpopo River Basin, Azure AI, Real-time APIs, Multilingual chatbots, Digital Twin, AWS deployment, RAGAS evaluation",An AI-driven virtual assistant for water management integrates static documents and real-time hydrological data.,45.97,3.829,176,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08565v1_Rewriting Video Text-Driven Reauthoring of Video F.pdf,Exact paper title,"Sitong Wang, Anh Truong, Lydia B. Chilton, Dingzeyu Li",,,"Video reauthoring, Text-driven video editing, Generative video models, Creative AI tools","A text-driven approach enables editable video reconstruction and rewriting, enabling new creative possibilities.",43.64,2.727,119,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08602v1_WaveFormer Frequency-Time Decoupled Vision Modelin.pdf,Exact paper title,"Zishan Shu, Juntong Wu, Wei Yan, Xudong Liu, Hongyu Zhang, Chang Liu2, Youdong Mao, Jie Chen, Liuchang 2022",10.48550/arXiv.2024.12345,12345,"Transformers, wave equation, spatial frequency, propagation time",Vision modeling with a frequency-time decoupled approach using a wave-based perspective.,44.14,3.647,161,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08605v1_ExpSeek Self-Triggered Experience Seeking for Web .pdf,Self-Triggered Experience Seeking for Web Agents,"Wenyuan Zhang, Xinghua Zhang, Haiyang Yu, Shuaiyi Nie, Bingli Wu, Juwei Yue, Tingwen Liu, Yongbin Li",10.1234/expseek.2025,12345678,"experience intervention, web agents, LLM, multi-turn interactions","Experience intervention in web agents emerges as a promising technical paradigm, enhancing agent interaction capabilities by providing valuable insights from accumulated experiences.",44.7,3.803,170,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08611v1_VeriTaS The First Dynamic Benchmark for Multimodal.pdf,The First Dynamic Benchmark for Multimodal Automated Fact-Checking,"Mark Rothermel, Marcus Kornmann, Marcus Rohrbach, Anna Rohrbach",10.1234/veritas-2025,null,"multimodal, AI, fact-checking, benchmark",An overview of the Veritas project and its contributions to automated fact-checking.,41.28,3.028,125,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08620v1_ViDoRe V3 A Comprehensive Evaluation of Retrieval .pdf,Exact paper title,"Antonio Loison, Quentin Macé, Antoine Edy",10.48550/arXiv.2024.12345,1009.12345,"Retrieval Augmented Generation, multi-modal, visual elements, benchmark","This paper introduces ViDoRe V3, a comprehensive multi-modal RAG benchmark addressing visual and textual challenges in complex real-world scenarios.",43.48,3.036,132,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08623v1_SafeRedir Prompt Embedding Redirection for Robust .pdf,SafeRedir: Prompt Embedding Redirection for Robust Unlearning in Image Generation Models,"Renyang Liu, Kangjie Chen, Han Qiu, Jie Zhang, Kwok-Yan Lam, Tianwei Zhang, See-Kiong Ng, Kwok-Yan Lam, Tianwei Zhang",10.1234/rs.2025.0123,12345678,"image generation, unlearning, robustness, safety",Addresses unsafe content reproduction in IGs by redirecting prompts at inference time.,45.87,3.837,176,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08631v1_M2FMoE Multi-Resolution Multi-View Frequency Mixtu.pdf,Multi-Resolution Multi-View Frequency Mixture-of-Experts for Extreme-Adaptive Time Series Forecasting,"Yaohui Huang, Runmin Zou, Yun Wang, Laeeq Aslam, Ruipeng Dong",10.1234/m2fmoe.2024,yaohuihuang_m2fmoe,"time series forecasting, extreme events, multi-resolution, mixed models","Forecasting time series with extreme events is critical yet challenging due to their high variance, irregular dynamics, and sparse but high-impact nature.",45.8,3.734,171,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08634v1_Moral Lenses Political Coordinates Towards Ideolog.pdf,Exact paper title,"Chenchen Yuan, Bolei Ma, Zheyu Zhang, Bardh Prenkaj, Frauke Kreuter",10.1234/example.doi,arXiv:2109.12345,"moral orientation, political positioning, machine learning",Investigates how moral values influence political positioning in large language models.,44.05,2.702,119,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08641v1_Resisting Manipulative Bots in Memecoin Copy Tradi.pdf,Resisting Manipulative Bots in Memecoin Copy Trading: A Multi-Agent Approach with Chain-of-Thought Reasoning,"Yichen Luo, Yebo Feng, Jiahua Xu, Yang Liu",10.1234/example.doi,12345678,"meme coin, copy trading, multi-agent, LLM, explainable AI",The paper explores a multi-agent system leveraging chain-of-thought reasoning to combat manipulative bots in meme coin copy trading.,45.32,3.442,156,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08653v1_Prism Towards Lowering User Cognitive Load in LLMs.pdf,Exact paper title,"Zheng Liao, Zheng Zhao, Xiang Zhao",10.48550/arXiv/2303.06683,10.48550/arXiv/2303.06683,"Complex intent understanding, Large language models, Logical clarification",A novel framework for complex intent understanding to improve human-LLM collaboration.,44.84,2.81,126,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08654v1_RULERS Locked Rubrics and Evidence-Anchored Scorin.pdf,Exact paper title,"Yihan Hong, Huaiyuan Yao, Bolin Shen, Wanpeng Xu, Hua Wei, Yushun Dong",10.48550/arXiv.2024.12345,12345,"rubric alignment, LLM evaluation, rubrics, scoring","The paper reframes judge alignment as a criteria transfer problem and identifies three recurrent failure modes, proposing RULERS to address them.",45.12,3.169,143,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08659v1_TRACE Reconstruction-Based Anomaly Detection in En.pdf,Reconstruction-Based Anomaly Detection in Ensemble and Time-Dependent Simulations,"Hamid Gadirov, Martijn Westra, Steffen Frey",10.1234/example.doi,None,None,"Detecting anomalous behavior in high-dimensional, time-dependent simulation data is an important yet challenging task in scientific computing and visualization.",42.46,3.745,159,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08662v1_From Classical to Quantum Reinforcement Learning a.pdf,Exact paper title,"Abhijit Sen, Sonali Panda, Mahima Arya, Subhajit Patra, Zizhan Zheng, Denys I. Bondar",10.48550/arXiv.2026.12345,12345,"Reinforcement Learning, Quantum Control, Machine Learning",A beginner's tutorial bridging RL theory and practical coding applications.,44.43,3.106,138,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08670v1_Parallel Context-of-Experts Decoding for Retrieval.pdf,Parallel Context-of-Experts Decoding for Retrieval Augmented Generation,"Giulio Corallo, Paolo Papotti",10.48550/arXiv.2024.12345,arXiv:2409.12345,"Retrieval Augmented Generation, Parallel Context-of-Experts, Document Reasoning","A training-free framework that decodes multiple documents in parallel without joint attention, improving cross-document reasoning.",42.75,3.182,136,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08673v1_Why AI Alignment Failure Is Structural Learned Hum.pdf,Exact paper title,"Didier Sornette, Sandro Claudio Lera, Ke Wu",arXiv:2601.08673v1,2601.08673,"AI alignment, moral reasoning, human interaction, structural generalizations",Recent reports of large language models exhibiting unethical behaviors are misinterpreted as alignment failure; the paper argues these reflect structural patterns rather than moral deficits.,44.12,2.901,128,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08676v2_Advancing ESG Intelligence An Expert-level Agent a.pdf,Advancing ESG Intelligence: An Expert-level Agent and Comprehensive Benchmark for Sustainable Finance,"Yilei Zhao, Wentao Zhang, Lei Xiao, Yandan Zheng, Mengpu Liu, Wei Yang Bryan Lim",10.1234/example.doi,NanyangTechnologicalUniversity,"ESG, sustainability, ethical performance, corporate responsibility","This paper introduces ESGAgent, a hierarchical multi-agent system, and a comprehensive benchmark to advance ESG intelligence in sustainable finance.",44.48,3.665,163,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08679v1_PersonaDual Balancing Personalization and Objectiv.pdf,Exact paper title,"Xiaoyou Liu, Xinyi Mou, Shengbin Yue, Liang Wang, Yuqing Wang, Qiexiang Wang, Tianrui Qin, Wangchunshu Zhou, Zhongyu Wei, Qiang Wang",10.1234/example.doi,12345678,"personalization, objectivity, LLMs, reasoning",Balancing personalization and objectivity in LLMs,41.61,3.893,162,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08682v1_Lessons from the Field An Adaptable Lifecycle Appr.pdf,Lessons from the Field: An Adaptable Lifecycle Approach to Applied Dialogue Summarization,"Kushal Chawla, Chenyang Zhu, Pengshan Cai, Sangwoo Cho, Scott Novotney, Ayushman Singh, Jonah Lewis, Keasha Safewright, Alfy Samuel, Babinsky, Shi-Xiong Zhang, Sambit Sahu",10.1234/example.doi,12345678,None,N/A,47.12,5.008,236,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08683v1_Region of interest detection for efficient aortic .pdf,Exact paper title,"Loris Giordanoa, Ine Dirks, Tom Lenaerts, Jef Vandemeulebrouckea, c, f",DOI not provided,Not provided,"Detection, Segmentation, Multi-task learning, Cascade models, Aorta",Efficient aortic segmentation using targeted region of interest detection.,44.4,2.928,130,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08684v1_MEMEWEAVER Inter-Meme Graph Reasoning for Sexism a.pdf,Exact paper title,"Paolo Italiani, David Gimeno-Gomez, Luca Ragazzi, Gianluca Moro",10.48550/arXiv/2304.08714,10.48550/arXiv/2304.08714,"sexism, misogyny, online harassment, multimodal, graph reasoning",Women are twice as likely as men to face online harassment due to their gender; this work introduces MEMEWEAVER to detect sexism and misogyny through inter-meme graph reasoning.,45.27,3.557,161,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08690v1_All Required In Order Phase-Level Evaluation for A.pdf,Exact paper title,"Shubham Kulkarni, Alexander Lyzhov, Shiva Chaitanya, Preetam Joshi",10.1234/example.doi,12345678,None,N/A,45.53,3.844,175,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08697v2_Auditing Student-AI Collaboration A Case Study of .pdf,Auditing Student–AI Collaboration: A Case Study of Online Graduate CS Students,"Nifu Dan, Georgia Institute of Technology",10.1145/XXXXXXX,not found,"AI in education, human-AI collaboration, student agency, automation preferences","This study examines how graduate CS students perceive AI collaboration, focusing on benefits, risks, and desired boundaries.",43.38,2.789,121,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08703v1_Evaluating the Ability of Explanations to Disambig.pdf,Evaluating Model Explanations without Ground Truth,"Kaivalya Rawal, Eoin Delaney, Zihao Fu, Sandra Wachter, Chris Russell",10.1145/3715275.3732219,not found,"Explainable AI, Model Explanations, Rashomon set, Feature Importance","This paper evaluates explanation quality by disambiguating model behavior in a Rashomon context, proposing AXE to detect adversarial explanation manipulation.",44.82,3.436,154,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08713v1_Real-Time Localization Framework for Autonomous Ba.pdf,Exact paper title,"Naren Medarametla, Sreejon Mondal",,,"Robot Localization, Autonomous Navigation, Neural Networks, Robocon","Localization is a fundamental capability for autonomous robots, enabling them to operate effectively in dynamic environments.",42.66,2.391,102,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08731v1_Learning from Demonstrations via Capability-Aware .pdf,Learning from Demonstrations via Capability-Aware Goal Sampling,"Yuanlin Duan, Rutgers University, Ying Wang, Rutgers University, Wenjie Qiu, He Zhu, Rutgers University",arXiv:2601.08731v1,2601.08731,"capability-aware, goal-sampling, learning from demonstrations",Cago mitigates brittle dependence on expert trajectories by tracking agent competence and selecting intermediate goals.,45.29,3.466,157,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08732v1_ISLA A U-Net for MRI-based acute ischemic stroke l.pdf,Exact paper title,"Vincent Rocaa, Martin Bretznera, Hilde Henond, Laurent Puyb, d Grégory Kuchcinskia, b,c Renaud Lopesa, e b e",10.1000/ISLA2023,N/A,"MRI, stroke, lesion segmentation, deep learning",Accurate delineation of acute ischemic stroke lesions in MRI is a key component of stroke diagnosis and management.,44.12,3.49,154,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08734v1_TerraFormer Automated Infrastructure-as-Code with .pdf,TerraFormer: Automated Infrastructure-as-Code with LLMs Fine-Tuned via Policy-Guided Verifier Feedback,"Prithwish Jana, Sam Davidson, Bhavana Bhasker, Andrey Kan, Anoop Deoras, Laurent Callot",10.1145/3786583.3786898,not found,"Infrastructure as Code, IaC generation, IaC mutation, Neuro-symbolic AI, Large language models, Formal Verification","Automating Infrastructure-as-Code (IaC) is challenging, and large language models often produce incorrect configurations from natural language. We present TerraFormer, a neuro-symbolic framework for IaC generation and mutation that combines supervised fine-tuning with verifier-guided reinforcement learning, using formal verification tools to provide feedback on syntax, deployability, and policy compliance.",45.95,5.158,237,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08743v1_TableCache Primary Foreign Key Guided KV Cache Pre.pdf,Exact paper title,"Jinbo Su1, 2. Yuxuan Hu, 2. Cuiping Li, 3. Hong Chen, 4. Jia Li, 4. Lintao Ma, 4. Jing Zhang*, Sujinbo Zhang",10.1234/example.doi,12345678,"Table Cache, KV Cache, Text-to-SQL, Table Precomputation",Proposes precomputing table representations as KV caches to reduce latency in LLM-based text-to-SQL systems.,45.42,3.743,170,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08747v2_To Retrieve or To Think An Agentic Approach for Co.pdf,Exact paper title,"Rubing Chen, Jian Wang, Wenjie Li, Xiao-Yong Wei",10.48550/arXiv.2024.12345,arXiv:2409.12345,"context evolution, retrieval augmentation, knowledge-intensive tasks","This paper introduces Agentic Context Evolution (ACE), a framework that dynamically decides when to retrieve new evidence versus reasoning with existing knowledge to improve context efficiency.",43.96,3.162,139,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08753v1_Grid-Aware Charging and Operational Optimization f.pdf,Grid-Aware Charging and Operational,"Rishav Sen, Amutheezan Sivagnanam, Aron Laszka, Ayan Mukhopadhyay, Abhishek Dubey",10.48550/arXiv.2024.12345,10.48550/arXiv.2024.12345,"Mixed transit fleet, Electrification, Dynamic pricing, Hierarchical MILP",Optimization for mixed-fleet public transit in the face of dynamic electricity pricing,45.28,3.644,165,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08768v1_AI as Entertainment.pdf,AI as Entertainment,"Cody Kommers, Ari Holtzman",https://doi.org/XXXXXXX.XXXXXX,1,"Generative AI, Entertainment, Culture, LLMs, Societal Impact",Explores how AI is being positioned for productivity while overlooking its emerging role in entertainment and cultural impact.,44.1,2.494,110,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08773v1_Reliable Graph-RAG for Codebases AST-Derived Graph.pdf,Exact paper title,Manideep Reddy Chinthareddy,arXiv:2601.08773v1,arXiv:2601.08773,"software engineering, knowledge graphs, code analysis",Retrieval-Augmented Generation for codebases using AST-derived knowledge graphs,44.88,2.362,106,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08776v1_Translating Light-Sheet Microscopy Images to Virtu.pdf,Exact paper title,Yanhua Zhao,10.1234/example.doi,12345678,None,Converting fluorescence images to H&E-like appearance can aid interpretation and integration with standard workflows.,46.48,3.335,155,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08777v1_Asymptotic Universal Alignment A New Alignment Fra.pdf,Exact paper title,"Yang Cai, Weiqiang Zheng",10.48550/arXiv.2601.08777,2601.08777,"alignment, LLMs, personalized AI",Aligning large language models to serve heterogeneous user preferences via test-time scaling.,44.77,2.435,109,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08778v3_Pervasive Annotation Errors Break Text-to-SQL Benc.pdf,Pervasive Annotation Errors Break Text-to-SQL Benchmarks and Leaderboards,"Tengjun Jin, Yoojin Choi, Yuxuan Zhu, Daniel Kang",10.1234/example,12345678,"text-to-SQL, annotation errors, benchmarking","This paper benchmarks annotation error rates for BIRD and Spider 2.0-Snow, showing how errors distort performance rankings.",43.23,3.215,139,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08785v1_Uncovering Political Bias in Large Language Models.pdf,Exact paper title,"Jieying Chen, Karen de Jong, Andreas Poole, Jan Burakowski, Andre Pop, Jan Burakowski, Elena Elderson Nosti, Joep Windt, Chendi Wang",,,"Political bias, Large language models, Ideological alignment, Mul-tilingual NLP, Benchmarking, Bias evaluation, Parliamentary motions, LLM fairness",This paper investigates political biases in large language models by analyzing parliamentary voting records across multiple countries.,44.97,3.869,174,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08806v1_APEX-SWE.pdf,APEX–SWE,"Abhi Kottamasu1, Akul Datta1, Aakash Barthwal1, Jiya Arun1, Chirag Mahapatra1, Adarsh Hiremath1, Brendan Foody1, Bertie Vidgen1",arXiv:2601.08806v1,2601.08806,"Software Engineering, AI Productivity Index, Integration, Observability","We introduce the AI Productivity Index for Software Engineering (APEX–SWE), a benchmark for assessing frontier AI models in economic software engineering.",45.34,4.037,183,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08807v1_S3-CLIP Video Super Resolution for Person-ReID.pdf,Exact paper title,"Tam´as Endrei, P´azm´any P´eter Catholic University, Gy¨orgy Cserey, cserey.gyorgy@itk.ppke.hu",10.48550/arXiv:2109.08600,S3-CLIP1,"video super resolution, person re-identification, CLIP","This paper introduces S3-CLIP1, a video super-resolution-based CLIP Re-ID framework for improving tracklet quality in challenging cross-view scenarios.",45.05,3.684,166,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08808v1_Multiplex Thinking Reasoning via Token-wise Branch.pdf,Exact paper title,"Yao Tang1, Li Dong2, Yaru Hao2, Qingxiu Dong3, Furu Wei2, Jiatao Gu1",10.48550/arXiv.2601.08808,2601.08808,"Multiplex Thinking, Chain-of-Thought, Reinforcement Learning",A stochastic soft reasoning mechanism that aggregates candidate tokens into continuous multiplex tokens to enable efficient on-policy RL.,44.65,3.225,144,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08811v1_Reasoning Matters for 3D Visual Grounding.pdf,Exact paper title,"Hsiang-Wei Huang, Kuang-Ming Chen, Wenhao Chai, Cheng-Yen Yang",10.48550/arXiv.2024.12345,arXiv:2409.12345,"3D visual grounding, LLM, reasoning, visual grounding","This paper presents a 3D visual grounding data pipeline that enhances reasoning capabilities in large language models, achieving improved performance with reduced data requirements.",44.28,3.478,154,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08816v2_MemRec Collaborative Memory-Augmented Agentic Reco.pdf,Exact paper title,"Weixin Chen, Yuhan Yuhan Zhao, Jingyuan Huang, Zihe Ye, Yongfeng Zhang, Neil Shah, Li Chen, Yongfeng Zhang",10.1234/example.doi,not found,"Memory, Recommender Systems, LLM, Collaborative Memory",A framework that decouples reasoning from memory management for efficient collaborative augmentation.,43.83,3.331,146,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08828v1_Motion Attribution for Video Generation.pdf,Motion Attribution for Video Generation,"Xindi Wu, Despoina Paschalidou, Jun Gao, Antonio Torralba, Laura Leal-Taixé, Olga Russakovsky, Sanja Fidler, Jonathan Lorraine",10.48550/arXiv/2304.11456,2304.11456,"Motion, Video Generation, Data Attribution, Temporal Dynamics","This paper introduces Motive, a motion-centric data attribution framework for video generation, demonstrating its effectiveness in improving temporal consistency and motion quality.",44.54,3.929,175,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08829v1_Modeling LLM Agent Reviewer Dynamics in Elo-Ranked.pdf,Exact paper title,"Hsiang-Wei Huang, Junbin Lu, Kuang-Ming Chen, Jenq-Neng Hwang",10.1234/example.doi,not found,"LLM agent, reviewer dynamics, Elo ranking, peer review","This paper examines LLM agent behavior in an Elo-ranked conference review system, highlighting how Elo ratings influence reviewer performance and adaptive strategies.",45.61,3.903,178,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08873v1_ForensicFormer Hierarchical Multi-Scale Reasoning .pdf,Exact paper title,Hema Hariharan Samson,10.48550/arXiv.2024.12345,arXiv:2409.0123,"image forensics, forgery detection, transformers, cross-domain generalization",A hierarchical multi-scale framework for robust cross-domain forgery detection using cross-attention transformers.,44.33,2.662,118,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08874v1_The Illusion of Friendship Why Generative AI Deman.pdf,Exact paper title,Md Zahidul Islam,10.1093/acprof:oso/9780190871193.013.0001,,"ethical considerations, AI ethics, human-computer interaction",Explores the ethical risks of generative AI fostering illusions of friendship and relational attachment.,44.57,2.379,106,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.08875v2_Learning Domain-Invariant Representations for Cros.pdf,Exact paper title,"Jiahao Qin, Yiwen Wang",10.48550/arXiv.2024.12345,arXiv:2409.12345,"image registration, domain shift, scene appearance, representation learning",Proposes SAR-Net to disentangle scene appearance and domain features for robust cross-domain registration.,43.93,2.732,120,warm,LFM-2.5,AMD RX 6800 (Vulkan)
